name,type,healthInfo
Tremper Albino,Recessive,N/A
Bell Albino,Recessive,N/A
Rainwater Albino (Las Vegas Albino),Recessive,N/A
Eclipse,Recessive,N/A
Cipher,Recessive,N/A
Marble Eye,Recessive,N/A
NDBE (Noir Desir Black Eyes),Recessive,"Infertility in visual females, eye deformities."
Murphy Patternless,Recessive,N/A
Blizzard,Recessive,N/A
Giant,Recessive,N/A
Super Giant,Recessive,More susceptible to general health issues.
Enigma,Dominant,Enigma Syndrome (ES).
White and Yellow (W/Y),Dominant,N/A
Lemon Frost,Dominant,Malignant iridophore cell tumors.
Gem Snow,Dominant,N/A
TUG Snow,Dominant,N/A
Ghost,Dominant,N/A
Mack Snow,Codominant,N/A
Super Snow,Dominant,N/A
